content,cleaned_text,score,sentiment
Gamenya bagus tapi saat bermain kadang layar membeku dan tidak bisa di apa apakan dan solusinya login ulang dan beberapa hero tidak seimbang ada hero op banget dan jelek banget. Untuk rank lawan sering tidak seimbang dan banyak player yang stak di rank itu terus. Kalau bisa di buat tutorial yang lebih dimengerti oleh pemula.,gamenya bagus main kadang layar beku apa solusi login ulang hero imbang hero banget jelek banget rank lawan imbang player stak rank tutorial erti mula,3,neutral
"Saya memiliki keluhan terhadap game ini, saya selalu mendapatkan tim yang tidak dapat di andalkan dalam permainan, saya mengalami kekalahan sebanyak 7 kali lebih berturut-turut, saya sudah melaporkan nya ke form penyeimbangan matchmaking namun tidak kunjung mendapatkan perubahan, diberi kemenangan pun hanya 1 kali dan pada pertandingan berikut nya kekalahan terjadi lagi. Maka dari itu tolong untuk memperbaiki ""algoritma"" yang telah di janjikan berkali kali itu.",milik keluh game tim andal main alami kalah kali berturutturut lapor nya form imbang matchmaking kunjung ubah menang kali tanding nya kalah tolong baik algoritma janji kali kali,1,negative
"Saya pemain lama emel, makin lama emel sering lag montoon apa lagi pas lagi war bahkan bisa sampai ga bisa gerak padahal jaringan internet bagus bagus aja, tolong diperbaiki bug nya Montoon, untuk yang lain lain seperti Hero,grafik,voice Hero udah bagus yang kurang dari game ini cuman kondisi jaringannya mohon maaf jika ada kesalahan kata. Sekian, terimakasih🙏🏻😁",main emel emel lag montoon pas war gerak jaring internet bagus bagus aja tolong baik bug nya montoon herografikvoice hero udah bagus game cuman kondisi jaring mohon maaf salah sekian terimakasih,3,neutral
"Tolong kembalikan performa Mobile Legends seperti dahulu. Saat sinyal tidak mudah jumping-jumping. Tolong sesuaikan tim sendiri dan tim lawan. ""Tolong berikan kami lawan yang seimbang, tidak mudah namun tidak mempersulit..."" Juga untuk data jangan terlalu besar. Handphone ram 3gb mengkis-mengkis (sesak) :d",tolong kembali performa mobile legends sinyal mudah jumpingjumping tolong sesuai tim tim lawan tolong lawan imbang mudah sulit data handphone ram mengkismengkis sesak,4,positive
"Tolong diperbaiki sinyal dan kapasitas penyimpanan disetiap hp android tertentu dan matchmaking yg lebih seimbang. Untuk teks terkadang masih suka bug untuk menyampaikan pesan ke teman selalu diberi peringatan oleh pihak moonton,mohon dikoreksi lagi jika mengandung kata2 kurang sopan / sara gpp di ban untuk sementara",tolong baik sinyal kapasitas simpan tiap android matchmaking imbang teks terkadang suka bug pesan teman ingat moontonmohon koreksi kandung sopan sara gpp ban,5,positive
"Jangan update terus moonton, perbaiki aja jaringannya . Sering banget ngefram, sering banget tiba² keluar dari game. Padahal wifi enak , data juga ada.",update moonton baik aja jaring banget ngefram banget game wifi enak data,4,positive
"Untuk pengurangan kredit skor tolong diberi keringanan, jika bisa penambahan kredit skor perhari yang hanya cuma 3 ditambah, 4 atau mungkin 5... Agar player bisa lebih mudah membuka mode rank dan jika tidak, mungkin game ini akan sepi dalam beberapa bulan kedepan, sistem banding sangat tidak relevan dengan keadaan sekarang ditambah support system' service moonton yang lambat menangangani keluhan user, mungkin itu sedikit saran dari saya, terimakasih",kurang kredit skor tolong ringan tambah kredit skor hari tambah player mudah buka mode rank game sepi depan sistem banding relevan tambah support system service moonton lambat menangangani keluh user saran terimakasih,2,negative
"Ada faktor di game moba yang saya review antara lain :  1 . Tolong perbaiki sinyal terutama untuk kenyamanan saat bermain , kalo saya review di comment mobile legend kendala utama yaitu sinyal dan itu benar ..  2 . Untuk update itu sudah bagus dan tidak masalah tapi lagi-lagi permasalahan nya yaitu sinyal dan itu benar .. 3 . Kenapa update disetiap season itu tolong dikurangi dan perbaiki saja soal update yang mempengaruhi tiap player seperti sinyal yang naik turun kadang ( 20 ms /288ms )",faktor game moba review tolong baik sinyal nyaman main kalo review comment mobile legend kendala utama sinyal update bagus lagilagi masalah nya sinyal update tiap season tolong rang baik update pengaruh player sinyal turun kadang,1,negative
"Sebenernya udah bagus dari segi game. Cuman kekurangan nya banyak, jaringan suka hilang pas lagi main, Pas mau mulai dapet lawan yg gak seimbang, unduh resource nya terlalu memakan memori, suka patah2 pas main/ lag. Tolong ya diperbaiki lagi, saya sebagai pemain di game ini kadang cukup dirugikan . Jadi tolong dipermudah. TAMBAHAN : "" INI KENAPA YA JARINGAN SAYA MERAH KUNINGELULU PAS MAIN, PADAHAL SAYA PAKE WIFI. DARI KEMAREN2 GAK BERUBAH2 KEK GITU TERUS, PADAHAL SEBELUMNYA UPDATE BAGUS AJA!",sebenernya udah bagus segi game cuman kurang nya jaring suka hilang pas main pas dapet lawan gak imbang unduh resource nya makan memori suka patah pas main lag tolong baik main game kadang rugi tolong mudah tambah jaring merah kuningelulu pas main pake wifi kemaren gak ubah kek gitu update bagus aja,3,neutral
Ini bagus si gamenya. Tapi hari ini waktu mau main malah download resource terus. Bolak balik tulisan nya cuma moonton. Sebelum nya saya juga ganti intro ml sih. Apakah ganti intro ngaruh ya? Kalo misalnya nggak tolong di perbaiki. Ini intro ml nya juga udah saya ganti semula. Tapi masih download resource terus. Sekali lagi tolong diperbaiki ya kalo lag,bagus gamenya main download resource bolak tulis nya moonton nya ganti intro sih ganti intro ngaruh kalo nggak tolong baik intro nya udah ganti download resource tolong baik kalo lag,3,neutral
